id,name,shortdescription,description,content,studycredit,location,contact_id,level,learningoutcomes,Rood,Groen,Blauw,Geel,module_tags,interests_match_score,popularity_score,estimated_difficulty,available_spots,start_date
228,Branding: Strategisch Merkenmanagement,"Branding, merken, imago, identiteit, positioneren, concept, maatschappelijk ondernemen","Met merken bijdragen aan een betere wereld. In een veranderende wereld, als merk je steentje bijdragen. Neem je als merk wel je maatschappelijke verantwoordelijkheid en geef je betekenis aan de wereld om je heen? Je leert hoe je een praktische vertaling van de SDGs maakt en hoe je als merk concreet verbindt.","Met merken bijdragen aan een betere wereld. In een veranderende wereld, als merk je steentje bijdragen. Neem je als merk wel je maatschappelijke verantwoordelijkheid en geef je betekenis aan de wereld om je heen? Je leert hoe je een praktische vertaling van de SDGs maakt en hoe je als merk concreet verbindt.",15,Breda,85,NLQF6,"1. De belangrijkste theorieën en laatste ontwikkelingen binnen het vakgebied branding duiden, zodanig dat je passende adviezen kunt geven met betrekking tot het bouwen van betekenisvolle merken (futureproof). 2. Een brandplan realiseren in de rol van brandconsultant, zodanig dat je vanuit een grondige analyse een passende brandstrategie kunt vaststellen voor een betekenisvol merk.",,,,,"['branding', 'merken', 'imago', 'identiteit', 'positioneren', 'concept', 'maatschappelijk', 'ondernemen']",0.36,167,3,67,2025-10-31
229,International Business Operations,internationalization / country assessment / entry strategies / international business plan,"International business expansion: country assessment, entry strategy, business plan","International business expansion: country assessment, entry strategy, business plan",15,Breda,86,NLQF6,"Assess countriesm, determine entry strategies, develop international business plan",,,,,"['internationalization', 'country', 'assessment', 'entry', 'strategies', 'international', 'business', 'plan']",0.43,486,1,48,2025-11-20
230,International Project Management & Stakeholder Engagement 1 (15 EC) en 2 (30 EC),International / project and stakholder management / intercultural /,International project and stakeholder engagement,International project and stakeholder engagement,15,Breda,87,NLQF6,"Create a stakeholder engagement policy, Ethics in international business, International negotiation, Confront competing intrests, apply lobby and advocacy strategies",,,,,"['international', 'project', 'and', 'stakholder', 'management', 'intercultural']",0.33,55,1,32,2025-09-26
231,Trust the *&^% process,"Spelen, Falen, Experimenteren, Ontdekken, Persoonlijke ontdekking, Anti Design, Reflectie, Omgaan met onzekerheid, Ongemak, Vertrouwen op je eigen proces, Kansen zien, Omgevingssensitiviteit.","Door het riduculiseren, karikaturiseren en opblazen van het ontwerpproces zie je de waarde van dit proces en vormt het meenemen van je opdrachtgever uit de nietontwerpende context een expliciete uitdaging.","Door het riduculiseren, karikaturiseren en opblazen van het ontwerpproces zie je de waarde van dit proces en vormt het meenemen van je opdrachtgever uit de nietontwerpende context een expliciete uitdaging.",15,Breda,88,NLQF5,"""Vertrouwen in de waarde van het (eigen) ontwerpende proces. Kracht van het ontwerpende proces kunnen laten ervaren aan niet ontwerpende derden. """,,,,,"['spelen', 'falen', 'experimenteren', 'ontdekken', 'persoonlijke', 'ontdekking', 'anti', 'design', 'reflectie', 'omgaan', 'met', 'onzekerheid', 'ongemak', 'vertrouwen', 'op', 'je', 'eigen', 'proces', 'kansen', 'zien', 'omgevingssensitiviteit']",0.51,382,2,65,2025-10-06
232,Tutorial Club,,Nog niet bekend,Nog niet bekend,15,Den Bosch,90,NLQF5,Nog te formuleren,,,,,[],0.55,15,3,54,2025-09-01
233,"Artistiek ondernemerschap voor kunst, design en performance","personal branding, zzp'er schap wat betekent dat voor jou, netwerken en jezelf leren goed te presenteren, je portfolio bouwen en testen, rechten en plichten als maker ( bv auteursrecht)","""Als creatieve maker is de kans groot dat je na je opleiding zzp’er wordt. Zeker als je graag zelf de regie houdt over jouw werk. Maar hoe zet je jezelf als maker en je creatieve werk in de markt?Tijdens deze module leer je welke kennis en vaardigheden je nodig hebt voor het ondernemerschap. Van personal branding tot je werk presenteren, van een netwerk opbouwen tot belastingaangifte doen en subsidies aanvragen. Je leert hoe welke waarde jouw werk heeft. Hoe je jezelf als maker professioneel in de kijker speelt en hoe je aan opdrachten komt. Ook heb je de mogelijkheid om met creatieve ondernemers uit het werkveld te sparren en te leren van hun ervaringen in de wereld buiten de veilige onderwijsmuren. ""","""Als creatieve maker is de kans groot dat je na je opleiding zzp’er wordt. Zeker als je graag zelf de regie houdt over jouw werk. Maar hoe zet je jezelf als maker en je creatieve werk in de markt?Tijdens deze module leer je welke kennis en vaardigheden je nodig hebt voor het ondernemerschap. Van personal branding tot je werk presenteren, van een netwerk opbouwen tot belastingaangifte doen en subsidies aanvragen. Je leert hoe welke waarde jouw werk heeft. Hoe je jezelf als maker professioneel in de kijker speelt en hoe je aan opdrachten komt. Ook heb je de mogelijkheid om met creatieve ondernemers uit het werkveld te sparren en te leren van hun ervaringen in de wereld buiten de veilige onderwijsmuren. """,15,Breda en Den Bosch,91,NLQF5,De student leert zichzelf te branden als creative maker in de markt van zijn/haar keuze als opmaat naar het zzp' er schap en krijgt daarbij inzicht in de diverse randvoorwaarden om dit vorm te kunnen geven.,,,,,"['personal', 'branding', 'zzper', 'schap', 'wat', 'betekent', 'dat', 'voor', 'jou', 'netwerken', 'en', 'jezelf', 'leren', 'goed', 'te', 'presenteren', 'je', 'portfolio', 'bouwen', 'en', 'testen', 'rechten', 'en', 'plichten', 'als', 'maker', 'bv', 'auteursrecht']",0.48,108,4,80,2025-09-08
234,Avans Innovative Studio Basis,"persoonlijke ontwikkeling, interdisciplinair, innovatie, prototyping, valorisatie","Tijdens deze module leer je welke kennis en vaardigheden je nodig hebt voor het ondernemerschap. Van personal branding tot je werk presenteren, van een netwerk opbouwen tot belastingaangifte doen en subsidies aanvragen.","Tijdens deze module leer je welke kennis en vaardigheden je nodig hebt voor het ondernemerschap. Van personal branding tot je werk presenteren, van een netwerk opbouwen tot belastingaangifte doen en subsidies aanvragen.",15,Breda,92,NLQF5,"De student demonstreert persoonlijke groei op zes competenties. Hij is in staat om domeinspecifiek interdisciplinair te creëren en te experimenteren, om zo op innovatieve wijze tot meervoudige en duurzame waardecreatie te komen.",,,,,"['persoonlijke', 'ontwikkeling', 'interdisciplinair', 'innovatie', 'prototyping', 'valorisatie']",0.84,389,5,25,2025-12-22
235,BI Innovatie,"innovatie, innovatie methoden, casework, business models, responsible","In deze module leer je wat innovaties en innovatiemethoden zijn, leren we je de grondbeginselen van organisaties en gaan we aan de slag om duurzame, verantwoordelijke innovaties te ontwikkelen. Aan het eind van deze module kun je inhoud geven aan ons eigen canvas: Het Responsible Business Innovation Canvas. Lukt je dit, dan ben je in staat om een goede start te maken als Innovator.","In deze module leer je wat innovaties en innovatiemethoden zijn, leren we je de grondbeginselen van organisaties en gaan we aan de slag om duurzame, verantwoordelijke innovaties te ontwikkelen. Aan het eind van deze module kun je inhoud geven aan ons eigen canvas: Het Responsible Business Innovation Canvas. Lukt je dit, dan ben je in staat om een goede start te maken als Innovator.",15,Den Bosch,93,NLQF5,""" Als business innovator ontwikkel je als (rol...) een innovatieroute voor een opdrachtgever. Aan het einde van deze module maak je op basis van je kennis over de grondbeginselen van innovatie, organisaties, organisatiekunde en innovatiemethoden een innovatieroute. Je kunt complexe vraagstukken analyseren om weloverwogen beslissingen te maken tijdens het ontwerp en de implementatie van een innovatie. Je houdt hierbij onder andere rekening met het innovatievermogen van een organisatie; duurzaamheids-, ethische- en maatschappelijke standpunten; haalbaarheid, wenselijkheid en levensvatbaarheid van het innovatieontwerp""",,,,,"['innovatie', 'innovatie', 'methoden', 'casework', 'business', 'models', 'responsible']",0.53,242,5,37,2025-12-08
236,BI Design voor innovatie,"design thinking, visualiseren, basis, branding","In de module Design voor Innovatie ga je aan de slag als ontwerper in het oplossen van een probleem. Samen met jouw ontwerpteam volbreng je ontwerpopdrachten, ‘challenges’ genaamd. Elke challenge legt de nadruk op andere gebieden binnen de design discipline.","In de module Design voor Innovatie ga je aan de slag als ontwerper in het oplossen van een probleem. Samen met jouw ontwerpteam volbreng je ontwerpopdrachten, ‘challenges’ genaamd. Elke challenge legt de nadruk op andere gebieden binnen de design discipline.",15,Den Bosch,93,NLQF5,""" Als business innovator ga je als creatief ontdekker innovatieve producten ontwikkelen in het innovatieproces. Aan het eind van deze module kun je ideeën genereren (divergeren), uitdagen en selecteren (convergeren); kun je je concepten d.m.v. schetsen of het bouwen van een prototype visualiseren; en kun je je ideeën en concepten presenteren aan gebruikers en opdrachtgever. Je kunt creatieve ontwerp- en maakmethoden inzetten om producten, diensten en merken te creëren passend bij de behoeften en wensen van de doelgroep. Je kunt een ontwerpproces inrichten, doorlopen, aanpassen, daarop kritisch terugkijken, en toepassen in een innovatieproject.""",,,,,"['design', 'thinking', 'visualiseren', 'basis', 'branding']",0.48,46,4,70,2025-10-22
237,BI Onderzoek voor innovatie,"onderzoek voor innovatie, prototype testing, implementatie onderzoek, concept test,","In deze module leer je spelen met onderzoeksmethoden die je helpen om een innovatie te realiseren. In een innovatie proces zijn er verschillende fasen te bedenken waar onderzoek een deel van uitmaakt. Je leert (innovatieve) manieren van onderzoek om het probleem achter het probleem te vinden, oplossingsrichtingen verder te brengen en de oplosing te realiseren.","In deze module leer je spelen met onderzoeksmethoden die je helpen om een innovatie te realiseren. In een innovatie proces zijn er verschillende fasen te bedenken waar onderzoek een deel van uitmaakt. Je leert (innovatieve) manieren van onderzoek om het probleem achter het probleem te vinden, oplossingsrichtingen verder te brengen en de oplosing te realiseren.",15,Den Bosch,93,NLQF5,"""Leeruitkomst 2 Als business innovator doe je in alle fasen van je innovatieproject onderzoek. Aan het einde van deze module maak je de juiste keuzes in onderzoeksmethodes in iedere fase. In het vooronderzoek formuleer je relevante onderzoeksvragen en kies je passende onderzoeksmethodes. Vervolgens breng je de bestaande- en de gewenste situatie in kaart middels uitvoeren van de gekozen onderzoeksmethodes, waarna je een systematische concept-test opzet en uitvoert. Op basis van kritische analyse en onderzoek weeg je perspectieven van interne stakeholders af. Hierdoor kun je een haalbare realisatiestrategie ontwikkelen. Je kunt een onderzoeksproces inrichten, doorlopen, aanpassen, daarop kritisch terugkijken, en toepassen in een innovatieproject.​ Tenslotte kun je reflecteren op de waarde van gebruikte onderzoeksmethodes en de kwaliteit van uitvoering. Dit grondige onderzoek zorgt voor succesvollere innovaties. (nog iets over ‘rol’ toevoegen?)""",,,,,"['onderzoek', 'voor', 'innovatie', 'prototype', 'testing', 'implementatie', 'onderzoek', 'concept', 'test']",0.65,289,2,24,2025-11-18
248,Module 2.1 Oriëntatie op het beroepenveld ,"traineeship, persoonlijke interesses, exploreren, welzijn, persoonlijke groei",Studenten ontdekken welke plek ze in het beroepenveld van de gebouwde omgeving willen innemen,Studenten ontdekken welke plek ze in het beroepenveld van de gebouwde omgeving willen innemen,15,Den Bosch en Tilburg,94,NLQF5,Door experimenteren ontdekken studenten welke plek ze binnen het beroepenveld van gebouwde omgeving willen innemen.,,,,,"['traineeship', 'persoonlijke', 'interesses', 'exploreren', 'welzijn', 'persoonlijke', 'groei']",0.39,358,5,66,2025-10-17
249,Module 2.1/2.3 Acquireren en Aanbesteden,"(Innovatief) professioneel opdrachtgever- en opdrachtnemerschap, storytelling,  ",Studenten maken kennis met modern/professioneel opdrachtgever en opdrachtnemerschap. Daarbij is er aandacht voor innovatief aanbesteden en acquireren.,Studenten maken kennis met modern/professioneel opdrachtgever en opdrachtnemerschap. Daarbij is er aandacht voor innovatief aanbesteden en acquireren.,15,Den Bosch en Tilburg,95,NLQF5,"In de rol van opdrachtgever of opdrachtnemer doorlopen studenten een aanbesteding, waarbij er aandacht is voor professioneel opdrachtgever- en -nemerschap, duurzaamheid en innovatie",,,,,"['innovatief', 'professioneel', 'opdrachtgever', 'en', 'opdrachtnemerschap', 'storytelling']",0.82,311,3,44,2025-10-26
250,Module 2.1/2.3 Circulair Bouwen / Revitaliseren,"migration, Resilience, Crisis Response, Risk Management, Policy Management",Studenten ontdekken wat circulaire economie in de bouw betekent en passen deze kennis toe,Studenten ontdekken wat circulaire economie in de bouw betekent en passen deze kennis toe,15,Den Bosch en Tilburg,96,NLQF5,"Studenten onderzoeken wat circulaire economie is, beschrijven wat circulariteit in de bouw is aan de hand van theoretische modellen en passen deze toe in een casus.",,,,,"['migration', 'resilience', 'crisis', 'response', 'risk', 'management', 'policy', 'management']",0.35,190,2,21,2025-11-25
251,Module 2.1/2.3 Creëren en Experimenteren,"Creatief ontwerpen, productinnovatie, materialen, prototyping en/of fieldlab","Studenten werken door middel van prototyping, experimenteren en creatief ontwerpen  aan product-innovaties en nieuwe materialen","Studenten werken door middel van prototyping, experimenteren en creatief ontwerpen  aan product-innovaties en nieuwe materialen",15,Den Bosch en Tilburg,97,NLQF5,"Door middel van prototyping, experimenteren en creatief ontwerpen werken studenten aan product-innovaties en nieuwe materialen",,,,,"['creatief', 'ontwerpen', 'productinnovatie', 'materialen', 'prototyping', 'enof', 'fieldlab']",0.94,104,3,29,2025-09-14
252,Module 2.1/2.3 Cultureel Voortbouwen,"Cultuur & gedrag, historische bewustzijn, multiculturele samenleving, participatiemaatschappij","Studenten verdiepen zich in historisch bewustzijn, cultuur en gedrag, multi-culturele samenleving en participatie maatschappij om tot een toekomstbestendig ontwerp voor de gebouwde omgeving te komen","Studenten verdiepen zich in historisch bewustzijn, cultuur en gedrag, multi-culturele samenleving en participatie maatschappij om tot een toekomstbestendig ontwerp voor de gebouwde omgeving te komen",15,Den Bosch en Tilburg,94,NLQF5,"Studenten verdiepen zich in historisch bewustzijn, cultuur en gedrag, multi-culturele samenleving en participatie maatschappij om tot een toekomstbestendig ontwerp voor de gebouwde omgeving te komen",,,,,"['cultuur', 'gedrag', 'historische', 'bewustzijn', 'multiculturele', 'samenleving', 'participatiemaatschappij']",0.8,108,1,75,2025-11-29
253,Module 2.1/2.3 Maatschappelijke Transities,"Klimaatverandering, -adaptatie, energietransitie, watermanagement, verandermanagement, productinnovatie",Studenten bedenken oplossingen voor vraagstukken in de gebouwde omgeving die het gevolg zijn van maatschappelijke transities. ,Studenten bedenken oplossingen voor vraagstukken in de gebouwde omgeving die het gevolg zijn van maatschappelijke transities. ,15,Den Bosch en Tilburg,96,NLQF5,,,,,,"['klimaatverandering', 'adaptatie', 'energietransitie', 'watermanagement', 'verandermanagement', 'productinnovatie']",0.43,197,2,49,2025-09-28
254,Module 2.1/2.3 Toekomstgericht Ontwerpen,"Natuurinclusief Ontwerpen, post humaan denken, transitiedenken, paradigma shift",Studenten maken kennis met natuurinclusief ontwerpen en post-humaan denken en passen dit toe in gebiedsontwikkeling en woningbouwvraagstukken,Studenten maken kennis met natuurinclusief ontwerpen en post-humaan denken en passen dit toe in gebiedsontwikkeling en woningbouwvraagstukken,15,Den Bosch en Tilburg,97,NLQF5,"Studenten leren om de ontwerpopgaven voor de toekomst in een breder maatschappelijk kader te plaatsen, het menselijk perspectief staat niet per definitie centraal - discussie over complexe duurzaamheidsvraagstukken zoals 'groene groei of degrowth' - om te kunnen komen tot onderbouwde ontwerpvraagstukken.",,,,,"['natuurinclusief', 'ontwerpen', 'post', 'humaan', 'denken', 'transitiedenken', 'paradigma', 'shift']",0.3,490,5,69,2025-11-26
255,Module 2.3 Data gestuurd Ontwerp (Data Driven Design),"Data driven design, big data, BIM/GIS, parametrisch ontwerpen, virtual reality, storytelling",Studenten gebruiken (big) data om ontwerpen voor de gebouwde omgeving te maken of te verbeteren om zo de gebruikservaring van een ontwerp te verbeteren,Studenten gebruiken (big) data om ontwerpen voor de gebouwde omgeving te maken of te verbeteren om zo de gebruikservaring van een ontwerp te verbeteren,15,Den Bosch en Tilburg,94,NLQF5,Studenten ontwerpen een onderdeel van de gebouwde omgeving met behulp van data,,,,,"['data', 'driven', 'design', 'big', 'data', 'bimgis', 'parametrisch', 'ontwerpen', 'virtual', 'reality', 'storytelling']",0.83,125,2,78,2025-11-17
256,Module 2.3 Materiaal en Ontwerp,"Bio-mimicry, tectoniek en nieuwe materialen, milieu impact, creatief ontwerpen, story telling",Studenten gaan aan de slag met ontwerpen op basis van nieuwe materialen en hun eigenschappen,Studenten gaan aan de slag met ontwerpen op basis van nieuwe materialen en hun eigenschappen,15,Den Bosch en Tilburg,96,NLQF5,Studenten ontwerpen een object in de gebouwde omgeving met behulp van nieuwe materialen en hun eigenschappen,,,,,"['biomimicry', 'tectoniek', 'en', 'nieuwe', 'materialen', 'milieu', 'impact', 'creatief', 'ontwerpen', 'story', 'telling']",0.76,200,2,64,2025-11-27
257,Module 2.3 Projectmanagement,"Projectmanagement, Lean, bedrijfskunde, exploitatie en investeringsmodel",Modern projectmanagment en ondernemerschap in de gebouwde omgeving. Welke nieuwe management tools vragen de materiaal en energietransitie,Modern projectmanagment en ondernemerschap in de gebouwde omgeving. Welke nieuwe management tools vragen de materiaal en energietransitie,15,Den Bosch en Tilburg,95,NLQF5,"Student gebruiken projectmanagement om een project te plannen, uit te voeren en te evalueren rekening houdend met de GROTIK-aspecten",,,,,"['projectmanagement', 'lean', 'bedrijfskunde', 'exploitatie', 'en', 'investeringsmodel']",0.77,262,2,24,2025-09-02
258,Module 3.4 Duurzaam gebouwde omgeving - Energietransitie in de praktijk,"Interdisciplinair, biobased bouwen, nieuwe materialen",Student gaan aan de slag met een casus rondom biobased bouwen en/of energietransitie en werken daarin samen met studenten vanuit hun eigen expertise,Student gaan aan de slag met een casus rondom biobased bouwen en/of energietransitie en werken daarin samen met studenten vanuit hun eigen expertise,15,Den Bosch en Tilburg,98,NLQF6,Student kan interdisciplinair samenwerken rondom een maatschappelijke uitdaging,,,,,"['interdisciplinair', 'biobased', 'bouwen', 'nieuwe', 'materialen']",0.8,478,2,74,2025-12-18
259,Module 3.4 Duurzaam gebouwde omgeving - Gezondheid en zorg,"Interdisciplinair, wellbeing, bouwen voor de zorg","Student gaan aan de slag met een casus rondom gezondheid, zorg en welzijn in de gebouwde omgeving en werken daarin samen met studenten vanuit hun eigen expertise","Student gaan aan de slag met een casus rondom gezondheid, zorg en welzijn in de gebouwde omgeving en werken daarin samen met studenten vanuit hun eigen expertise",15,Den Bosch en Tilburg,98,NLQF6,Student kan interdisciplinair samenwerken rondom een maatschappelijke uitdaging,,,,,"['interdisciplinair', 'wellbeing', 'bouwen', 'voor', 'de', 'zorg']",0.35,425,3,75,2025-09-26
260,Module 3.4 Duurzaam gebouwde omgeving - Veilige veerkrachtige stad,"Interdisciplinair, gebouwde omgeving, resilient city",Student gaan aan de slag met een casus rondom veilige veerkrachtige stad en werken daarin samen met studenten vanuit hun eigen expertise,Student gaan aan de slag met een casus rondom veilige veerkrachtige stad en werken daarin samen met studenten vanuit hun eigen expertise,15,Den Bosch en Tilburg,98,NLQF6,Student kan interdisciplinair samenwerken rondom een maatschappelijke uitdaging,,,,,"['interdisciplinair', 'gebouwde', 'omgeving', 'resilient', 'city']",0.53,480,1,52,2025-09-14
261,Module 3.4 Duurzaam gebouwde omgeving - Wellbeing economie,"Interdisciplinair, welbeing, waardedenken",Student gaan aan de slag met een casus rondom 'brede welvaart en nieuw ondernemerschap' in de gebouwde omgeving en werken daarin samen met studenten vanuit hun eigen expertise,Student gaan aan de slag met een casus rondom 'brede welvaart en nieuw ondernemerschap' in de gebouwde omgeving en werken daarin samen met studenten vanuit hun eigen expertise,15,Den Bosch en Tilburg,98,NLQF6,Student kan interdisciplinair samenwerken rondom een maatschappelijke uitdaging,,,,,"['interdisciplinair', 'welbeing', 'waardedenken']",0.38,170,4,73,2025-10-29
262,Module 4.1/4.1Toekomstbestendig ondernemerschap in de gebouwde omgeving (nieuwe minor),"Ondernemen, duurzaamheid, Lean, bedrijfskunde","Keuzemodule gericht op modern ondernemerschap in de gebouwde omgeving, waarbij aandacht is voor continue verbeteren en verduurzamen","Keuzemodule gericht op modern ondernemerschap in de gebouwde omgeving, waarbij aandacht is voor continue verbeteren en verduurzamen",30,Tilburg,96,NLQF6,Studenten ervaren wat het is op een duurzamen manier te ondernemen in de gebouwde omgeving,,,,,"['ondernemen', 'duurzaamheid', 'lean', 'bedrijfskunde']",0.86,265,2,20,2025-10-26
263,"Module 4.1/4.2: BIM, Digitalisering en Virtueel Bouwen (Bestaande minor: doorontwikkelen)","Digitalisering, Building Information Modelling, Innovatie, Virtual Reality, Digital Twins","Studenten ontwikkelen skills die nodig zijn voor de digitalisering van de bouwsector. Ze leren werken met moderne ICT tools voor Building Information Modeling/Management (BIM), doen praktijkervaring op bij koplopers in het werkveld, en gaan aan de slag met onderwerpen zoals Digital Twins, Virtual Reality, programmeren en AI.","Studenten ontwikkelen skills die nodig zijn voor de digitalisering van de bouwsector. Ze leren werken met moderne ICT tools voor Building Information Modeling/Management (BIM), doen praktijkervaring op bij koplopers in het werkveld, en gaan aan de slag met onderwerpen zoals Digital Twins, Virtual Reality, programmeren en AI.",30,Den Bosch,99,NLQF6,Het kunnen inzetten van moderne BIM/ICT tools en innovatieve digitale technologieën ten behoeve van de ontwikkeling van de gebouwde omgeving. Het kunnen leveren van een actieve bijdrage aan de digitaliseringsslag binnen bedrijven uit de bouw- en infrasector.,,,,,"['digitalisering', 'building', 'information', 'modelling', 'innovatie', 'virtual', 'reality', 'digital', 'twins']",0.71,332,5,37,2025-12-24
264,Module 4.1/4.2: Circulair Constructief Ontwerpen (Bestaande minor),"Duurzaamheid, circulariteit, footprint, (biobased) materiaal (her)gebruik",Een keuzemodule constructief ontwerpen waarbij wordt gekeken hoe om te gaan met circulariteit van grondstoffen en materialen voor een lager milieu-impact  door materiaalgebruik in het domein van de gebouwde omgeving.,Een keuzemodule constructief ontwerpen waarbij wordt gekeken hoe om te gaan met circulariteit van grondstoffen en materialen voor een lager milieu-impact  door materiaalgebruik in het domein van de gebouwde omgeving.,30,Den Bosch,100,NLQF6,Het kunnen opstellen van contructieve ontwerpen waarbij rekening wordt gehouden met (biobased) materiaal (her)gebruik voor nu en in de toekomst.,,,,,"['duurzaamheid', 'circulariteit', 'footprint', 'biobased', 'materiaal', 'hergebruik']",0.52,137,2,51,2025-09-07
265,Module 4.1/4.2: CO2 Negatief Ontwerpen (bestaande minor),"Duurzaamheid, Footprint, Milieu-impact, Ruimtelijk Ontwerp, Biobased bouwen","Een keuzemodule ruimtelijk ontwerpen rondom de transitie naar bouwen met biobased materialen, de ketenintegratie met de producenten van snel hernieuwbare grondstoffen en de reductie van de milieu-impact van materiaalgebruik in het domein van de gebouwde omgeving.","Een keuzemodule ruimtelijk ontwerpen rondom de transitie naar bouwen met biobased materialen, de ketenintegratie met de producenten van snel hernieuwbare grondstoffen en de reductie van de milieu-impact van materiaalgebruik in het domein van de gebouwde omgeving.",30,Tilburg,97,NLQF6,volgt,,,,,"['duurzaamheid', 'footprint', 'milieuimpact', 'ruimtelijk', 'ontwerp', 'biobased', 'bouwen']",0.34,27,5,66,2025-09-03
266,Module 4.1/4.2: Disruptive Events: Migration Policy and Practice ,"Migration, Resilience, Crisis Response, Risk Management, Policy Management","In this module students dive into one of the main issues that has caused disruption in Europe in recent years: migration. Courses are focused on governance and policy; radicalization and terrorism; and ethics. During 2 field trips abroad, students conduct participatory research in refugee camps (such as Athens, Calais, Palermo).","In this module students dive into one of the main issues that has caused disruption in Europe in recent years: migration. Courses are focused on governance and policy; radicalization and terrorism; and ethics. During 2 field trips abroad, students conduct participatory research in refugee camps (such as Athens, Calais, Palermo).",15,Tilburg,101,NLQF6,,,,,,"['migration', 'resilience', 'crisis', 'response', 'risk', 'management', 'policy', 'management']",0.5,290,3,68,2025-12-20
267,Module 4.1/4.2: Drowning cities (bestaande minor),"Ruimtelijk Ontwerp, Globale en nationale Waterproblematiek, Biobased Bouwen, multicultureel","An interdisciplinary team of student (urban planner, architect and civil/water-manager) work together to deal with the threat of water to inhabited places globally. Floodings and droughts , are a worldwide problem to the livelihood of a large number of people on this planet. Students will work together with a peer team in Vietnam to come with sustainable and floodproof solutions to urbanized areas.","An interdisciplinary team of student (urban planner, architect and civil/water-manager) work together to deal with the threat of water to inhabited places globally. Floodings and droughts , are a worldwide problem to the livelihood of a large number of people on this planet. Students will work together with a peer team in Vietnam to come with sustainable and floodproof solutions to urbanized areas.",30,Tilburg,94,NLQF6,"1. Developing skills in design and research and working as an expert in a team of experts.2. Coming up with and testing innovative design solutions to embrace water instead of fighting it.3. By identifying stakeholders and understanding their interests and by understanding flood management, you will be able to translate design requirements into an architectural ,spatial and water proposal.4. By understanding what the Dutch Approach entails, you will be able to test its principles while exploring water and liveability problems abroad. 5. By understanding the problem of climate change in relation to the building industry, you will be able to make sustainable design decisions",,,,,"['ruimtelijk', 'ontwerp', 'globale', 'en', 'nationale', 'waterproblematiek', 'biobased', 'bouwen', 'multicultureel']",0.51,499,5,30,2025-09-23
268,Module 4.1/4.2: Infrastructuur (Bestaande minor: doorontwikkelen),"Infrastructuur, aanbesteden, verduurzamen, co2 reductie",Studenten  maken een aanbesteding mee waarin ze in de rol van aannemer een aanbieding moeten maken voor het realiseren van een stuk snelweg.,Studenten  maken een aanbesteding mee waarin ze in de rol van aannemer een aanbieding moeten maken voor het realiseren van een stuk snelweg.,30,Den Bosch,102,NLQF6,n.n.b.,,,,,"['infrastructuur', 'aanbesteden', 'verduurzamen', 'co2', 'reductie']",0.77,232,4,40,2025-12-19
269,Module 4.1/4.2: Stad van de Toekomst (Bestaande minor),"Stedelijke ontwikkeling, Ruimte, Sociaal, Techniek","Het algemene doel van de minor is om het vermogen te ontwikkelen vooruitstrevende “ruimtelijke, sociale en / of technologische plannen, kortom interdisciplinaire plannen” te maken die een  antwoord formuleren op de stedelijke vraagstukken van de toekomst.","Het algemene doel van de minor is om het vermogen te ontwikkelen vooruitstrevende “ruimtelijke, sociale en / of technologische plannen, kortom interdisciplinaire plannen” te maken die een  antwoord formuleren op de stedelijke vraagstukken van de toekomst.",30,Tilburg,103,NLQF6,Nog nader te bepalen,,,,,"['stedelijke', 'ontwikkeling', 'ruimte', 'sociaal', 'techniek']",0.71,63,1,45,2025-12-16
270,Module 4.1/4.2: Uitvoering CT (nieuwe minor),"Uitvoering, gebouwde omgeving",Studenten gaan aan de slag met het uitvoeren van een civieltechnisch of bouwkundig project,Studenten gaan aan de slag met het uitvoeren van een civieltechnisch of bouwkundig project,30,Den Bosch en Tilburg,104,NLQF6,Student kan een civiel project op een aantoonbaar duurzame manier uitvoeren,,,,,"['uitvoering', 'gebouwde', 'omgeving']",0.88,67,5,44,2025-12-20
271,Minor CSBS ,"Adviseren, rapporteren, cultuur, exportplan, internationalisering",Studenten leren een duurzaam exportplan schrijven.,Studenten leren een duurzaam exportplan schrijven.,30,Den Bosch,101,NLQF6,Adviseren over een duurzaam exportplan,,,,,"['adviseren', 'rapporteren', 'cultuur', 'exportplan', 'internationalisering']",0.61,332,5,41,2025-12-18
272,Duurzame Business Modellen,"Duurzaamheid, business modellen, advisering",Studenten leren duurzame business modellen toe te passen,Studenten leren duurzame business modellen toe te passen,15,Den Bosch,101,NLQF5,Toepassen van en adviseren over duurzame business modellen,,,,,"['duurzaamheid', 'business', 'modellen', 'advisering']",0.38,369,1,78,2025-09-18
273,Bossche Impact Studio - basis,"Desighn thinking, methode, ontwerp, toepassen",Studenten leren volgens de methodiek van design thinking een verbeterontwerp te maken.,Studenten leren volgens de methodiek van design thinking een verbeterontwerp te maken.,15,Den Bosch,101,NLQF5,Maken van een verbeterontwerp dor middel van Design Thinking,,,,,"['desighn', 'thinking', 'methode', 'ontwerp', 'toepassen']",0.76,183,4,46,2025-10-08
274,Lean Yellow belt,"Lean, yellow belt, procesverbetering, advisering",Studenten behalen een yellow belt certificaat,Studenten behalen een yellow belt certificaat,15,Den Bosch,101,NLQF5,Behalen yellow belt certificaat,,,,,"['lean', 'yellow', 'belt', 'procesverbetering', 'advisering']",0.79,289,2,68,2025-12-08
