id,name,shortdescription,description,content,studycredit,location,contact_id,level,learningoutcomes,module_tags,interests_match_score,popularity_score,estimated_difficulty,available_spots,start_date,combined_text
232,tutori club,,ntb,ntb,15,bosch,90,nlqf5,ntb,,0.55,15,3,54,2025-09-01,tutori club   bosch
233,artist ondern kunst design perfor,person brandi zzp schap beteke netwer leren goed presen portfo bouwen test recht plicht maker bijvoo auteur,"""als creatieve maker is de kans groot dat je na je opleiding zzp’er wordt. zeker als je graag zelf de regie houdt over jouw werk. maar hoe zet je jezelf als maker en je creatieve werk in de markt?tijdens deze module leer je welke kennis en vaardigheden je nodig hebt voor het ondernemerschap. van personal branding tot je werk presenteren, van een netwerk opbouwen tot belastingaangifte doen en subsidies aanvragen. je leert hoe welke waarde jouw werk heeft. hoe je jezelf als maker professioneel in de kijker speelt en hoe je aan opdrachten komt. ook heb je de mogelijkheid om met creatieve ondernemers uit het werkveld te sparren en te leren van hun ervaringen in de wereld buiten de veilige onderwijsmuren. ""","""als creatieve maker is de kans groot dat je na je opleiding zzp’er wordt. zeker als je graag zelf de regie houdt over jouw werk. maar hoe zet je jezelf als maker en je creatieve werk in de markt?tijdens deze module leer je welke kennis en vaardigheden je nodig hebt voor het ondernemerschap. van personal branding tot je werk presenteren, van een netwerk opbouwen tot belastingaangifte doen en subsidies aanvragen. je leert hoe welke waarde jouw werk heeft. hoe je jezelf als maker professioneel in de kijker speelt en hoe je aan opdrachten komt. ook heb je de mogelijkheid om met creatieve ondernemers uit het werkveld te sparren en te leren van hun ervaringen in de wereld buiten de veilige onderwijsmuren. """,15,breda bosch,91,nlqf5,de student leert zichzelf te branden als creative maker in de markt van zijn/haar keuze als opmaat naar het zzp' er schap en krijgt daarbij inzicht in de diverse randvoorwaarden om dit vorm te kunnen geven.,person brandi zzper schap beteke netwer leren goed presen portfo bouwen testen recht plicht maker bv auteur,0.48,108,4,80,2025-09-08,artist ondern kunst design perfor person brandi zzp schap beteke netwer leren goed presen portfo bouwen test recht plicht maker bijvoo auteur person brandi zzper schap beteke netwer leren goed presen portfo bouwen testen recht plicht maker bv auteur breda bosch
234,avans innova studio basis,persoo ontwik interd innova protot valori,"tijdens deze module leer je welke kennis en vaardigheden je nodig hebt voor het ondernemerschap. van personal branding tot je werk presenteren, van een netwerk opbouwen tot belastingaangifte doen en subsidies aanvragen.","tijdens deze module leer je welke kennis en vaardigheden je nodig hebt voor het ondernemerschap. van personal branding tot je werk presenteren, van een netwerk opbouwen tot belastingaangifte doen en subsidies aanvragen.",15,breda,92,nlqf5,"de student demonstreert persoonlijke groei op zes competenties. hij is in staat om domeinspecifiek interdisciplinair te creëren en te experimenteren, om zo op innovatieve wijze tot meervoudige en duurzame waardecreatie te komen.",persoo ontwik interd innova protot valori,0.84,389,5,25,2025-12-22,avans innova studio basis persoo ontwik interd innova protot valori persoo ontwik interd innova protot valori breda
235,bi innova,innova innova method casewo busine model respon,"in deze module leer je wat innovaties en innovatiemethoden zijn, leren we je de grondbeginselen van organisaties en gaan we aan de slag om duurzame, verantwoordelijke innovaties te ontwikkelen. aan het eind van deze module kun je inhoud geven aan ons eigen canvas: het responsible business innovation canvas. lukt je dit, dan ben je in staat om een goede start te maken als innovator.","in deze module leer je wat innovaties en innovatiemethoden zijn, leren we je de grondbeginselen van organisaties en gaan we aan de slag om duurzame, verantwoordelijke innovaties te ontwikkelen. aan het eind van deze module kun je inhoud geven aan ons eigen canvas: het responsible business innovation canvas. lukt je dit, dan ben je in staat om een goede start te maken als innovator.",15,bosch,93,nlqf5,""" als business innovator ontwikkel je als (rol...) een innovatieroute voor een opdrachtgever. aan het einde van deze module maak je op basis van je kennis over de grondbeginselen van innovatie, organisaties, organisatiekunde en innovatiemethoden een innovatieroute. je kunt complexe vraagstukken analyseren om weloverwogen beslissingen te maken tijdens het ontwerp en de implementatie van een innovatie. je houdt hierbij onder andere rekening met het innovatievermogen van een organisatie; duurzaamheids-, ethische- en maatschappelijke standpunten; haalbaarheid, wenselijkheid en levensvatbaarheid van het innovatieontwerp""",innova innova method casewo busine model respon,0.53,242,5,37,2025-12-08,bi innova innova innova method casewo busine model respon innova innova method casewo busine model respon bosch
236,bi design innova,design thinki visual basis brand,"in de module design voor innovatie ga je aan de slag als ontwerper in het oplossen van een probleem. samen met jouw ontwerpteam volbreng je ontwerpopdrachten, ‘challenges’ genaamd. elke challenge legt de nadruk op andere gebieden binnen de design discipline.","in de module design voor innovatie ga je aan de slag als ontwerper in het oplossen van een probleem. samen met jouw ontwerpteam volbreng je ontwerpopdrachten, ‘challenges’ genaamd. elke challenge legt de nadruk op andere gebieden binnen de design discipline.",15,bosch,93,nlqf5,""" als business innovator ga je als creatief ontdekker innovatieve producten ontwikkelen in het innovatieproces. aan het eind van deze module kun je ideeën genereren (divergeren), uitdagen en selecteren (convergeren); kun je je concepten d.m.v. schetsen of het bouwen van een prototype visualiseren; en kun je je ideeën en concepten presenteren aan gebruikers en opdrachtgever. je kunt creatieve ontwerp- en maakmethoden inzetten om producten, diensten en merken te creëren passend bij de behoeften en wensen van de doelgroep. je kunt een ontwerpproces inrichten, doorlopen, aanpassen, daarop kritisch terugkijken, en toepassen in een innovatieproject.""",design thinki visual basis brand,0.48,46,4,70,2025-10-22,bi design innova design thinki visual basis brand design thinki visual basis brand bosch
237,bi onderz innova,onderz innova protot testin implem onderz concep test,"in deze module leer je spelen met onderzoeksmethoden die je helpen om een innovatie te realiseren. in een innovatie proces zijn er verschillende fasen te bedenken waar onderzoek een deel van uitmaakt. je leert (innovatieve) manieren van onderzoek om het probleem achter het probleem te vinden, oplossingsrichtingen verder te brengen en de oplosing te realiseren.","in deze module leer je spelen met onderzoeksmethoden die je helpen om een innovatie te realiseren. in een innovatie proces zijn er verschillende fasen te bedenken waar onderzoek een deel van uitmaakt. je leert (innovatieve) manieren van onderzoek om het probleem achter het probleem te vinden, oplossingsrichtingen verder te brengen en de oplosing te realiseren.",15,bosch,93,nlqf5,"""leeruitkomst 2 als business innovator doe je in alle fasen van je innovatieproject onderzoek. aan het einde van deze module maak je de juiste keuzes in onderzoeksmethodes in iedere fase. in het vooronderzoek formuleer je relevante onderzoeksvragen en kies je passende onderzoeksmethodes. vervolgens breng je de bestaande- en de gewenste situatie in kaart middels uitvoeren van de gekozen onderzoeksmethodes, waarna je een systematische concept-test opzet en uitvoert. op basis van kritische analyse en onderzoek weeg je perspectieven van interne stakeholders af. hierdoor kun je een haalbare realisatiestrategie ontwikkelen. je kunt een onderzoeksproces inrichten, doorlopen, aanpassen, daarop kritisch terugkijken, en toepassen in een innovatieproject.​ tenslotte kun je reflecteren op de waarde van gebruikte onderzoeksmethodes en de kwaliteit van uitvoering. dit grondige onderzoek zorgt voor succesvollere innovaties. (nog iets over ‘rol’ toevoegen?)""",onderz innova protot testin implem onderz concep test,0.65,289,2,24,2025-11-18,bi onderz innova onderz innova protot testin implem onderz concep test onderz innova protot testin implem onderz concep test bosch
248,module oriënt beroep,traine persoo intere explor welzij persoo groei,studenten ontdekken welke plek ze in het beroepenveld van de gebouwde omgeving willen innemen,studenten ontdekken welke plek ze in het beroepenveld van de gebouwde omgeving willen innemen,15,bosch tilbur,94,nlqf5,door experimenteren ontdekken studenten welke plek ze binnen het beroepenveld van gebouwde omgeving willen innemen.,traine persoo intere explor welzij persoo groei,0.39,358,5,66,2025-10-17,module oriënt beroep traine persoo intere explor welzij persoo groei traine persoo intere explor welzij persoo groei bosch tilbur
249,module acquir aanbes,innova profes opdrac opdrac storyt,studenten maken kennis met modern/professioneel opdrachtgever en opdrachtnemerschap. daarbij is er aandacht voor innovatief aanbesteden en acquireren.,studenten maken kennis met modern/professioneel opdrachtgever en opdrachtnemerschap. daarbij is er aandacht voor innovatief aanbesteden en acquireren.,15,bosch tilbur,95,nlqf5,"in de rol van opdrachtgever of opdrachtnemer doorlopen studenten een aanbesteding, waarbij er aandacht is voor professioneel opdrachtgever- en -nemerschap, duurzaamheid en innovatie",innova profes opdrac opdrac storyt,0.82,311,3,44,2025-10-26,module acquir aanbes innova profes opdrac opdrac storyt innova profes opdrac opdrac storyt bosch tilbur
250,module circul bouwen revita,migrat resili crisis respon risk manage policy manage,studenten ontdekken wat circulaire economie in de bouw betekent en passen deze kennis toe,studenten ontdekken wat circulaire economie in de bouw betekent en passen deze kennis toe,15,bosch tilbur,96,nlqf5,"studenten onderzoeken wat circulaire economie is, beschrijven wat circulariteit in de bouw is aan de hand van theoretische modellen en passen deze toe in een casus.",migrat resili crisis respon risk manage policy manage,0.35,190,2,21,2025-11-25,module circul bouwen revita migrat resili crisis respon risk manage policy manage migrat resili crisis respon risk manage policy manage bosch tilbur
251,module creëre experi,creati ontwer produc materi protot fieldl,"studenten werken door middel van prototyping, experimenteren en creatief ontwerpen  aan product-innovaties en nieuwe materialen","studenten werken door middel van prototyping, experimenteren en creatief ontwerpen  aan product-innovaties en nieuwe materialen",15,bosch tilbur,97,nlqf5,"door middel van prototyping, experimenteren en creatief ontwerpen werken studenten aan product-innovaties en nieuwe materialen",creati ontwer produc materi protot enof fieldl,0.94,104,3,29,2025-09-14,module creëre experi creati ontwer produc materi protot fieldl creati ontwer produc materi protot enof fieldl bosch tilbur
252,module cultur voortb,cultuu gedrag histor bewust multic samenl partic,"studenten verdiepen zich in historisch bewustzijn, cultuur en gedrag, multi-culturele samenleving en participatie maatschappij om tot een toekomstbestendig ontwerp voor de gebouwde omgeving te komen","studenten verdiepen zich in historisch bewustzijn, cultuur en gedrag, multi-culturele samenleving en participatie maatschappij om tot een toekomstbestendig ontwerp voor de gebouwde omgeving te komen",15,bosch tilbur,94,nlqf5,"studenten verdiepen zich in historisch bewustzijn, cultuur en gedrag, multi-culturele samenleving en participatie maatschappij om tot een toekomstbestendig ontwerp voor de gebouwde omgeving te komen",cultuu gedrag histor bewust multic samenl partic,0.8,108,1,75,2025-11-29,module cultur voortb cultuu gedrag histor bewust multic samenl partic cultuu gedrag histor bewust multic samenl partic bosch tilbur
253,module maatsc transi,klimaa adapta energi waterm verand produc,studenten bedenken oplossingen voor vraagstukken in de gebouwde omgeving die het gevolg zijn van maatschappelijke transities.,studenten bedenken oplossingen voor vraagstukken in de gebouwde omgeving die het gevolg zijn van maatschappelijke transities.,15,bosch tilbur,96,nlqf5,ntb,klimaa adapta energi waterm verand produc,0.43,197,2,49,2025-09-28,module maatsc transi klimaa adapta energi waterm verand produc klimaa adapta energi waterm verand produc bosch tilbur
254,module toekom ontwer,natuur ontwer post humaan denken transi paradi shift,studenten maken kennis met natuurinclusief ontwerpen en post-humaan denken en passen dit toe in gebiedsontwikkeling en woningbouwvraagstukken,studenten maken kennis met natuurinclusief ontwerpen en post-humaan denken en passen dit toe in gebiedsontwikkeling en woningbouwvraagstukken,15,bosch tilbur,97,nlqf5,"studenten leren om de ontwerpopgaven voor de toekomst in een breder maatschappelijk kader te plaatsen, het menselijk perspectief staat niet per definitie centraal - discussie over complexe duurzaamheidsvraagstukken zoals 'groene groei of degrowth' - om te kunnen komen tot onderbouwde ontwerpvraagstukken.",natuur ontwer post humaan denken transi paradi shift,0.3,490,5,69,2025-11-26,module toekom ontwer natuur ontwer post humaan denken transi paradi shift natuur ontwer post humaan denken transi paradi shift bosch tilbur
255,module data sturen ontwer datum driven design,datum driven design big data bim gis parame ontwer virtua realit storyt,studenten gebruiken (big) data om ontwerpen voor de gebouwde omgeving te maken of te verbeteren om zo de gebruikservaring van een ontwerp te verbeteren,studenten gebruiken (big) data om ontwerpen voor de gebouwde omgeving te maken of te verbeteren om zo de gebruikservaring van een ontwerp te verbeteren,15,bosch tilbur,94,nlqf5,studenten ontwerpen een onderdeel van de gebouwde omgeving met behulp van data,datum driven design big data bimgis parame ontwer virtua realit storyt,0.83,125,2,78,2025-11-17,module data sturen ontwer datum driven design datum driven design big data bim gis parame ontwer virtua realit storyt datum driven design big data bimgis parame ontwer virtua realit storyt bosch tilbur
256,module materi ontwer,bio mimicr tecton nieuwe materi milieu impact creati ontwer story tell,studenten gaan aan de slag met ontwerpen op basis van nieuwe materialen en hun eigenschappen,studenten gaan aan de slag met ontwerpen op basis van nieuwe materialen en hun eigenschappen,15,bosch tilbur,96,nlqf5,studenten ontwerpen een object in de gebouwde omgeving met behulp van nieuwe materialen en hun eigenschappen,biomim tecton nieuwe materi milieu impact creati ontwer story tell,0.76,200,2,64,2025-11-27,module materi ontwer bio mimicr tecton nieuwe materi milieu impact creati ontwer story tell biomim tecton nieuwe materi milieu impact creati ontwer story tell bosch tilbur
257,module projec,projec lean bedrij exploi invest,modern projectmanagment en ondernemerschap in de gebouwde omgeving. welke nieuwe management tools vragen de materiaal en energietransitie,modern projectmanagment en ondernemerschap in de gebouwde omgeving. welke nieuwe management tools vragen de materiaal en energietransitie,15,bosch tilbur,95,nlqf5,"student gebruiken projectmanagement om een project te plannen, uit te voeren en te evalueren rekening houdend met de grotik-aspecten",projec lean bedrij exploi invest,0.77,262,2,24,2025-09-02,module projec projec lean bedrij exploi invest projec lean bedrij exploi invest bosch tilbur
258,module duurza bouwen omgevi energi prakti,interd biobas bouwen nieuw materi,student gaan aan de slag met een casus rondom biobased bouwen en/of energietransitie en werken daarin samen met studenten vanuit hun eigen expertise,student gaan aan de slag met een casus rondom biobased bouwen en/of energietransitie en werken daarin samen met studenten vanuit hun eigen expertise,15,bosch tilbur,98,nlqf6,student kan interdisciplinair samenwerken rondom een maatschappelijke uitdaging,interd biobas bouwen nieuw materi,0.8,478,2,74,2025-12-18,module duurza bouwen omgevi energi prakti interd biobas bouwen nieuw materi interd biobas bouwen nieuw materi bosch tilbur
259,module duurza bouwen omgevi gezond zorg,interd wellbe bouwen zorg,"student gaan aan de slag met een casus rondom gezondheid, zorg en welzijn in de gebouwde omgeving en werken daarin samen met studenten vanuit hun eigen expertise","student gaan aan de slag met een casus rondom gezondheid, zorg en welzijn in de gebouwde omgeving en werken daarin samen met studenten vanuit hun eigen expertise",15,bosch tilbur,98,nlqf6,student kan interdisciplinair samenwerken rondom een maatschappelijke uitdaging,interd wellbe bouwen zorg,0.35,425,3,75,2025-09-26,module duurza bouwen omgevi gezond zorg interd wellbe bouwen zorg interd wellbe bouwen zorg bosch tilbur
260,module duurza bouwen omgevi veilig veerkr stad,interd bouwen omgevi resili city,student gaan aan de slag met een casus rondom veilige veerkrachtige stad en werken daarin samen met studenten vanuit hun eigen expertise,student gaan aan de slag met een casus rondom veilige veerkrachtige stad en werken daarin samen met studenten vanuit hun eigen expertise,15,bosch tilbur,98,nlqf6,student kan interdisciplinair samenwerken rondom een maatschappelijke uitdaging,interd bouwen omgevi resili city,0.53,480,1,52,2025-09-14,module duurza bouwen omgevi veilig veerkr stad interd bouwen omgevi resili city interd bouwen omgevi resili city bosch tilbur
261,module duurza bouwen omgevi wellbe econom,interd welbei waarde,student gaan aan de slag met een casus rondom 'brede welvaart en nieuw ondernemerschap' in de gebouwde omgeving en werken daarin samen met studenten vanuit hun eigen expertise,student gaan aan de slag met een casus rondom 'brede welvaart en nieuw ondernemerschap' in de gebouwde omgeving en werken daarin samen met studenten vanuit hun eigen expertise,15,bosch tilbur,98,nlqf6,student kan interdisciplinair samenwerken rondom een maatschappelijke uitdaging,interd welbei waarde,0.38,170,4,73,2025-10-29,module duurza bouwen omgevi wellbe econom interd welbei waarde interd welbei waarde bosch tilbur
262,module toekom ondern bouwen omgevi nieuw minor,ondern duurza lean bedrij,"keuzemodule gericht op modern ondernemerschap in de gebouwde omgeving, waarbij aandacht is voor continue verbeteren en verduurzamen","keuzemodule gericht op modern ondernemerschap in de gebouwde omgeving, waarbij aandacht is voor continue verbeteren en verduurzamen",30,tilbur,96,nlqf6,studenten ervaren wat het is op een duurzamen manier te ondernemen in de gebouwde omgeving,ondern duurza lean bedrij,0.86,265,2,20,2025-10-26,module toekom ondern bouwen omgevi nieuw minor ondern duurza lean bedrij ondern duurza lean bedrij tilbur
263,module bim digita virtue bouwen bestaa minor dooron,digita build inform model innova virtua realit digita twin,"studenten ontwikkelen skills die nodig zijn voor de digitalisering van de bouwsector. ze leren werken met moderne ict tools voor building information modeling/management (bim), doen praktijkervaring op bij koplopers in het werkveld, en gaan aan de slag met onderwerpen zoals digital twins, virtual reality, programmeren en ai.","studenten ontwikkelen skills die nodig zijn voor de digitalisering van de bouwsector. ze leren werken met moderne ict tools voor building information modeling/management (bim), doen praktijkervaring op bij koplopers in het werkveld, en gaan aan de slag met onderwerpen zoals digital twins, virtual reality, programmeren en ai.",30,bosch,99,nlqf6,het kunnen inzetten van moderne bim/ict tools en innovatieve digitale technologieën ten behoeve van de ontwikkeling van de gebouwde omgeving. het kunnen leveren van een actieve bijdrage aan de digitaliseringsslag binnen bedrijven uit de bouw- en infrasector.,digita build inform model innova virtua realit digita twin,0.71,332,5,37,2025-12-24,module bim digita virtue bouwen bestaa minor dooron digita build inform model innova virtua realit digita twin digita build inform model innova virtua realit digita twin bosch
264,module circul constr ontwer bestaa minor,duurza circul footpr biobas materi gebrui,een keuzemodule constructief ontwerpen waarbij wordt gekeken hoe om te gaan met circulariteit van grondstoffen en materialen voor een lager milieu-impact  door materiaalgebruik in het domein van de gebouwde omgeving.,een keuzemodule constructief ontwerpen waarbij wordt gekeken hoe om te gaan met circulariteit van grondstoffen en materialen voor een lager milieu-impact  door materiaalgebruik in het domein van de gebouwde omgeving.,30,bosch,100,nlqf6,het kunnen opstellen van contructieve ontwerpen waarbij rekening wordt gehouden met (biobased) materiaal (her)gebruik voor nu en in de toekomst.,duurza circul footpr biobas materi hergeb,0.52,137,2,51,2025-09-07,module circul constr ontwer bestaa minor duurza circul footpr biobas materi gebrui duurza circul footpr biobas materi hergeb bosch
265,module co negati ontwer bestaa minor,duurza footpr milieu impact ruimte ontwer biobas bouwen,"een keuzemodule ruimtelijk ontwerpen rondom de transitie naar bouwen met biobased materialen, de ketenintegratie met de producenten van snel hernieuwbare grondstoffen en de reductie van de milieu-impact van materiaalgebruik in het domein van de gebouwde omgeving.","een keuzemodule ruimtelijk ontwerpen rondom de transitie naar bouwen met biobased materialen, de ketenintegratie met de producenten van snel hernieuwbare grondstoffen en de reductie van de milieu-impact van materiaalgebruik in het domein van de gebouwde omgeving.",30,tilbur,97,nlqf6,ntb,duurza footpr milieu ruimte ontwer biobas bouwen,0.34,27,5,66,2025-09-03,module co negati ontwer bestaa minor duurza footpr milieu impact ruimte ontwer biobas bouwen duurza footpr milieu ruimte ontwer biobas bouwen tilbur
266,module disrup event migrat policy practi,migrat resili crisis respon risk manage policy manage,"in this module students dive into one of the main issues that has caused disruption in europe in recent years: migration. courses are focused on governance and policy; radicalization and terrorism; and ethics. during 2 field trips abroad, students conduct participatory research in refugee camps (such as athens, calais, palermo).","in this module students dive into one of the main issues that has caused disruption in europe in recent years: migration. courses are focused on governance and policy; radicalization and terrorism; and ethics. during 2 field trips abroad, students conduct participatory research in refugee camps (such as athens, calais, palermo).",15,tilbur,101,nlqf6,ntb,migrat resili crisis respon risk manage policy manage,0.5,290,3,68,2025-12-20,module disrup event migrat policy practi migrat resili crisis respon risk manage policy manage migrat resili crisis respon risk manage policy manage tilbur
267,module drowni citie bestaa minor,ruimte ontwer globaa nation waterp biobas bouwen multic,"an interdisciplinary team of student (urban planner, architect and civil/water-manager) work together to deal with the threat of water to inhabited places globally. floodings and droughts , are a worldwide problem to the livelihood of a large number of people on this planet. students will work together with a peer team in vietnam to come with sustainable and floodproof solutions to urbanized areas.","an interdisciplinary team of student (urban planner, architect and civil/water-manager) work together to deal with the threat of water to inhabited places globally. floodings and droughts , are a worldwide problem to the livelihood of a large number of people on this planet. students will work together with a peer team in vietnam to come with sustainable and floodproof solutions to urbanized areas.",30,tilbur,94,nlqf6,"1. developing skills in design and research and working as an expert in a team of experts.2. coming up with and testing innovative design solutions to embrace water instead of fighting it.3. by identifying stakeholders and understanding their interests and by understanding flood management, you will be able to translate design requirements into an architectural ,spatial and water proposal.4. by understanding what the dutch approach entails, you will be able to test its principles while exploring water and liveability problems abroad. 5. by understanding the problem of climate change in relation to the building industry, you will be able to make sustainable design decisions",ruimte ontwer global nation waterp biobas bouwen multic,0.51,499,5,30,2025-09-23,module drowni citie bestaa minor ruimte ontwer globaa nation waterp biobas bouwen multic ruimte ontwer global nation waterp biobas bouwen multic tilbur
268,module infras bestaa minor dooron,infras aanbes verduu co reduct,studenten  maken een aanbesteding mee waarin ze in de rol van aannemer een aanbieding moeten maken voor het realiseren van een stuk snelweg.,studenten  maken een aanbesteding mee waarin ze in de rol van aannemer een aanbieding moeten maken voor het realiseren van een stuk snelweg.,30,bosch,102,nlqf6,ntb,infras aanbes verduu co reduct,0.77,232,4,40,2025-12-19,module infras bestaa minor dooron infras aanbes verduu co reduct infras aanbes verduu co reduct bosch
269,module stad toekom bestaa minor,stedel ontwik ruimte sociaa techni,"het algemene doel van de minor is om het vermogen te ontwikkelen vooruitstrevende “ruimtelijke, sociale en / of technologische plannen, kortom interdisciplinaire plannen” te maken die een  antwoord formuleren op de stedelijke vraagstukken van de toekomst.","het algemene doel van de minor is om het vermogen te ontwikkelen vooruitstrevende “ruimtelijke, sociale en / of technologische plannen, kortom interdisciplinaire plannen” te maken die een  antwoord formuleren op de stedelijke vraagstukken van de toekomst.",30,tilbur,103,nlqf6,nog nader te bepalen,stedel ontwik ruimte sociaa techni,0.71,63,1,45,2025-12-16,module stad toekom bestaa minor stedel ontwik ruimte sociaa techni stedel ontwik ruimte sociaa techni tilbur
270,module uitvoe ct nieuw minor,uitvoe bouwen omgevi,studenten gaan aan de slag met het uitvoeren van een civieltechnisch of bouwkundig project,studenten gaan aan de slag met het uitvoeren van een civieltechnisch of bouwkundig project,30,bosch tilbur,104,nlqf6,student kan een civiel project op een aantoonbaar duurzame manier uitvoeren,uitvoe bouwen omgevi,0.88,67,5,44,2025-12-20,module uitvoe ct nieuw minor uitvoe bouwen omgevi uitvoe bouwen omgevi bosch tilbur
271,minor csbs,advise rappor cultuu export intern,studenten leren een duurzaam exportplan schrijven.,studenten leren een duurzaam exportplan schrijven.,30,bosch,101,nlqf6,adviseren over een duurzaam exportplan,advise rappor cultuu export intern,0.61,332,5,41,2025-12-18,minor csbs advise rappor cultuu export intern advise rappor cultuu export intern bosch
272,duurza busine model,duurza busine model advise,studenten leren duurzame business modellen toe te passen,studenten leren duurzame business modellen toe te passen,15,bosch,101,nlqf5,toepassen van en adviseren over duurzame business modellen,duurza busine model advise,0.38,369,1,78,2025-09-18,duurza busine model duurza busine model advise duurza busine model advise bosch
273,bossch impact studio basis,desigh thinki method ontwer toepas,studenten leren volgens de methodiek van design thinking een verbeterontwerp te maken.,studenten leren volgens de methodiek van design thinking een verbeterontwerp te maken.,15,bosch,101,nlqf5,maken van een verbeterontwerp dor middel van design thinking,desigh thinki method ontwer toepas,0.76,183,4,46,2025-10-08,bossch impact studio basis desigh thinki method ontwer toepas desigh thinki method ontwer toepas bosch
274,lean yellow belt,lean yellow belt proces advise,studenten behalen een yellow belt certificaat,studenten behalen een yellow belt certificaat,15,bosch,101,nlqf5,behalen yellow belt certificaat,lean yellow belt proces advise,0.79,289,2,68,2025-12-08,lean yellow belt lean yellow belt proces advise lean yellow belt proces advise bosch
275,doctor busine,bedrij strate denken advise,studenten leren op een strategische en integrale manier een bedrijf te analyseren en hierover te adviseren,studenten leren op een strategische en integrale manier een bedrijf te analyseren en hierover te adviseren,15,bosch,101,nlqf5,strategisch advies geven over een bedrijfssituatie,bedrij strate denken advise,0.66,123,5,32,2025-12-24,doctor busine bedrij strate denken advise bedrij strate denken advise bosch
276,datadr busine,digita datadr busine beslui onderz,"studenten leren om data te gebruiken als bron voor besluitvorming
studenten leren datadriven business toepassen","studenten leren om data te gebruiken als bron voor besluitvorming
studenten leren datadriven business toepassen",15,bosch,101,nlqf5,toepassen van datadriven business bij organisatievraagstukken,digita datadr busine beslui onderz,0.8,297,1,52,2025-09-15,datadr busine digita datadr busine beslui onderz digita datadr busine beslui onderz bosch
277,arbeid,juridi arbeid ethiek,"als hr professional of leidinggevende is het belangrijk om je soepel te kunnen bewegen in dit juridische speelveld. in de praktijk betekent dit dat je kennis moet hebben van de actuele ontwikkelingen op de verschillende rechtsgebieden, maar in de moderne beroepspraktijk is het zeker zo belangrijk dat je ook beschikt over de juiste vaardigheden en competenties.  in deze module is er daarom naast de theoretische component, volop ruimte voor trainingen en workshops gericht op het ontwikkelen van vaardigheden als advisering, juridisch argumenteren, en conflicthantering.","als hr professional of leidinggevende is het belangrijk om je soepel te kunnen bewegen in dit juridische speelveld. in de praktijk betekent dit dat je kennis moet hebben van de actuele ontwikkelingen op de verschillende rechtsgebieden, maar in de moderne beroepspraktijk is het zeker zo belangrijk dat je ook beschikt over de juiste vaardigheden en competenties.  in deze module is er daarom naast de theoretische component, volop ruimte voor trainingen en workshops gericht op het ontwikkelen van vaardigheden als advisering, juridisch argumenteren, en conflicthantering.",15,bosch,101,nlqf5,ntb,juridi arbeid ethiek,0.62,440,3,53,2025-11-03,arbeid juridi arbeid ethiek juridi arbeid ethiek bosch
278,hrm hrm employ experi manage,employ journe employ experi medewe leidin hrm,studenten leren over de belangrijke bijdrage van employee experience aan een duurzame bedrijfsvoering; ideaal voor people managers in alle branches.,studenten leren over de belangrijke bijdrage van employee experience aan een duurzame bedrijfsvoering; ideaal voor people managers in alle branches.,15,breda bosch,101,nlqf5,"na het volgen van deze module kan je met oog voor employee experience, de in- door- en uitstroom van medewerkers in organisaties zodanig te beinvloeden, dat zij optimaal & duurzaam bijdragen aan de doelstellingen van de organisatie.",employ journe employ experi medewe leidin hrm,0.64,351,1,60,2025-11-28,hrm hrm employ experi manage employ journe employ experi medewe leidin hrm employ journe employ experi medewe leidin hrm breda bosch
279,talent acquis brandi,brandi employ brandi person brandi recrui loopba,employer branding en personal branding: hoe branding een rol speelt in wervingsstrategien van organisaties en in je eigen loopbaan.,employer branding en personal branding: hoe branding een rol speelt in wervingsstrategien van organisaties en in je eigen loopbaan.,15,bosch,101,nlqf5,"je kan op basis van een analyse een passende branding strategie opstellen voor een organisatie, waarmee de organisatie haar wervingsstrategie kracht bij kan zetten.",brandi employ brandi person brandi recrui loopba,0.58,160,3,54,2025-12-28,talent acquis brandi brandi employ brandi person brandi recrui loopba brandi employ brandi person brandi recrui loopba bosch
280,future financ,futuur techno data duurza econom domein,"trends zoals circulaire economie, veranderende wet- en regelgeving, robotisering, data-mining, scenario-planning en kunstmatige intelligentie kunnen grote invloed hebben op de wijze waarop we straks werken en organiseren. in deze keuzemodule kijken we samen met vooruitstrevende bedrijven en organisaties (onze partners) hoe deze trends de rol van de professional in het economisch domein veranderen en hoe deze trends geïmplementeerd kunnen worden in de praktijk.","trends zoals circulaire economie, veranderende wet- en regelgeving, robotisering, data-mining, scenario-planning en kunstmatige intelligentie kunnen grote invloed hebben op de wijze waarop we straks werken en organiseren. in deze keuzemodule kijken we samen met vooruitstrevende bedrijven en organisaties (onze partners) hoe deze trends de rol van de professional in het economisch domein veranderen en hoe deze trends geïmplementeerd kunnen worden in de praktijk.",30,breda bosch,101,nlqf5,"1. je zet acties uit bij een organisatie gericht op een trend op het gebied van finance, zodanig dat de organisatie op basis daarvan beslissingen kan nemen.
2. je maakt de impact van een trend op het gebied van finance inzichtelijk voor verschillende doelgroepen.",futuur techno data duurza econom domein,0.32,459,4,20,2025-12-10,future financ futuur techno data duurza econom domein futuur techno data duurza econom domein breda bosch
