id,name,shortdescription,description,content,studycredit,location,contact_id,level,learningoutcomes,module_tags,interests_match_score,popularity_score,estimated_difficulty,available_spots,start_date
260,module 3.4 duurzaam gebouwde omgeving - veilige veerkrachtige stad,"interdisciplinair, gebouwde omgeving, resilient city",student gaan aan de slag met een casus rondom veilige veerkrachtige stad en werken daarin samen met studenten vanuit hun eigen expertise,student gaan aan de slag met een casus rondom veilige veerkrachtige stad en werken daarin samen met studenten vanuit hun eigen expertise,15,den bosch en tilburg,98,nlqf6,student kan interdisciplinair samenwerken rondom een maatschappelijke uitdaging,"['interdisciplinair', 'gebouwde', 'omgeving', 'resilient', 'city']",0.53,480,1,52,2025-09-14
261,module 3.4 duurzaam gebouwde omgeving - wellbeing economie,"interdisciplinair, welbeing, waardedenken",student gaan aan de slag met een casus rondom 'brede welvaart en nieuw ondernemerschap' in de gebouwde omgeving en werken daarin samen met studenten vanuit hun eigen expertise,student gaan aan de slag met een casus rondom 'brede welvaart en nieuw ondernemerschap' in de gebouwde omgeving en werken daarin samen met studenten vanuit hun eigen expertise,15,den bosch en tilburg,98,nlqf6,student kan interdisciplinair samenwerken rondom een maatschappelijke uitdaging,"['interdisciplinair', 'welbeing', 'waardedenken']",0.38,170,4,73,2025-10-29
262,module 4.1/4.1toekomstbestendig ondernemerschap in de gebouwde omgeving (nieuwe minor),"ondernemen, duurzaamheid, lean, bedrijfskunde","keuzemodule gericht op modern ondernemerschap in de gebouwde omgeving, waarbij aandacht is voor continue verbeteren en verduurzamen","keuzemodule gericht op modern ondernemerschap in de gebouwde omgeving, waarbij aandacht is voor continue verbeteren en verduurzamen",30,tilburg,96,nlqf6,studenten ervaren wat het is op een duurzamen manier te ondernemen in de gebouwde omgeving,"['ondernemen', 'duurzaamheid', 'lean', 'bedrijfskunde']",0.86,265,2,20,2025-10-26
263,"module 4.1/4.2: bim, digitalisering en virtueel bouwen (bestaande minor: doorontwikkelen)","digitalisering, building information modelling, innovatie, virtual reality, digital twins","studenten ontwikkelen skills die nodig zijn voor de digitalisering van de bouwsector. ze leren werken met moderne ict tools voor building information modeling/management (bim), doen praktijkervaring op bij koplopers in het werkveld, en gaan aan de slag met onderwerpen zoals digital twins, virtual reality, programmeren en ai.","studenten ontwikkelen skills die nodig zijn voor de digitalisering van de bouwsector. ze leren werken met moderne ict tools voor building information modeling/management (bim), doen praktijkervaring op bij koplopers in het werkveld, en gaan aan de slag met onderwerpen zoals digital twins, virtual reality, programmeren en ai.",30,den bosch,99,nlqf6,het kunnen inzetten van moderne bim/ict tools en innovatieve digitale technologieën ten behoeve van de ontwikkeling van de gebouwde omgeving. het kunnen leveren van een actieve bijdrage aan de digitaliseringsslag binnen bedrijven uit de bouw- en infrasector.,"['digitalisering', 'building', 'information', 'modelling', 'innovatie', 'virtual', 'reality', 'digital', 'twins']",0.71,332,5,37,2025-12-24
264,module 4.1/4.2: circulair constructief ontwerpen (bestaande minor),"duurzaamheid, circulariteit, footprint, (biobased) materiaal (her)gebruik",een keuzemodule constructief ontwerpen waarbij wordt gekeken hoe om te gaan met circulariteit van grondstoffen en materialen voor een lager milieu-impact  door materiaalgebruik in het domein van de gebouwde omgeving.,een keuzemodule constructief ontwerpen waarbij wordt gekeken hoe om te gaan met circulariteit van grondstoffen en materialen voor een lager milieu-impact  door materiaalgebruik in het domein van de gebouwde omgeving.,30,den bosch,100,nlqf6,het kunnen opstellen van contructieve ontwerpen waarbij rekening wordt gehouden met (biobased) materiaal (her)gebruik voor nu en in de toekomst.,"['duurzaamheid', 'circulariteit', 'footprint', 'biobased', 'materiaal', 'hergebruik']",0.52,137,2,51,2025-09-07
265,module 4.1/4.2: co2 negatief ontwerpen (bestaande minor),"duurzaamheid, footprint, milieu-impact, ruimtelijk ontwerp, biobased bouwen","een keuzemodule ruimtelijk ontwerpen rondom de transitie naar bouwen met biobased materialen, de ketenintegratie met de producenten van snel hernieuwbare grondstoffen en de reductie van de milieu-impact van materiaalgebruik in het domein van de gebouwde omgeving.","een keuzemodule ruimtelijk ontwerpen rondom de transitie naar bouwen met biobased materialen, de ketenintegratie met de producenten van snel hernieuwbare grondstoffen en de reductie van de milieu-impact van materiaalgebruik in het domein van de gebouwde omgeving.",30,tilburg,97,nlqf6,ntb,"['duurzaamheid', 'footprint', 'milieuimpact', 'ruimtelijk', 'ontwerp', 'biobased', 'bouwen']",0.34,27,5,66,2025-09-03
266,module 4.1/4.2: disruptive events: migration policy and practice,"migration, resilience, crisis response, risk management, policy management","in this module students dive into one of the main issues that has caused disruption in europe in recent years: migration. courses are focused on governance and policy; radicalization and terrorism; and ethics. during 2 field trips abroad, students conduct participatory research in refugee camps (such as athens, calais, palermo).","in this module students dive into one of the main issues that has caused disruption in europe in recent years: migration. courses are focused on governance and policy; radicalization and terrorism; and ethics. during 2 field trips abroad, students conduct participatory research in refugee camps (such as athens, calais, palermo).",15,tilburg,101,nlqf6,ntb,"['migration', 'resilience', 'crisis', 'response', 'risk', 'management', 'policy', 'management']",0.5,290,3,68,2025-12-20
267,module 4.1/4.2: drowning cities (bestaande minor),"ruimtelijk ontwerp, globale en nationale waterproblematiek, biobased bouwen, multicultureel","an interdisciplinary team of student (urban planner, architect and civil/water-manager) work together to deal with the threat of water to inhabited places globally. floodings and droughts , are a worldwide problem to the livelihood of a large number of people on this planet. students will work together with a peer team in vietnam to come with sustainable and floodproof solutions to urbanized areas.","an interdisciplinary team of student (urban planner, architect and civil/water-manager) work together to deal with the threat of water to inhabited places globally. floodings and droughts , are a worldwide problem to the livelihood of a large number of people on this planet. students will work together with a peer team in vietnam to come with sustainable and floodproof solutions to urbanized areas.",30,tilburg,94,nlqf6,"1. developing skills in design and research and working as an expert in a team of experts.2. coming up with and testing innovative design solutions to embrace water instead of fighting it.3. by identifying stakeholders and understanding their interests and by understanding flood management, you will be able to translate design requirements into an architectural ,spatial and water proposal.4. by understanding what the dutch approach entails, you will be able to test its principles while exploring water and liveability problems abroad. 5. by understanding the problem of climate change in relation to the building industry, you will be able to make sustainable design decisions","['ruimtelijk', 'ontwerp', 'globale', 'en', 'nationale', 'waterproblematiek', 'biobased', 'bouwen', 'multicultureel']",0.51,499,5,30,2025-09-23
268,module 4.1/4.2: infrastructuur (bestaande minor: doorontwikkelen),"infrastructuur, aanbesteden, verduurzamen, co2 reductie",studenten  maken een aanbesteding mee waarin ze in de rol van aannemer een aanbieding moeten maken voor het realiseren van een stuk snelweg.,studenten  maken een aanbesteding mee waarin ze in de rol van aannemer een aanbieding moeten maken voor het realiseren van een stuk snelweg.,30,den bosch,102,nlqf6,n.n.b.,"['infrastructuur', 'aanbesteden', 'verduurzamen', 'co2', 'reductie']",0.77,232,4,40,2025-12-19
269,module 4.1/4.2: stad van de toekomst (bestaande minor),"stedelijke ontwikkeling, ruimte, sociaal, techniek","het algemene doel van de minor is om het vermogen te ontwikkelen vooruitstrevende “ruimtelijke, sociale en / of technologische plannen, kortom interdisciplinaire plannen” te maken die een  antwoord formuleren op de stedelijke vraagstukken van de toekomst.","het algemene doel van de minor is om het vermogen te ontwikkelen vooruitstrevende “ruimtelijke, sociale en / of technologische plannen, kortom interdisciplinaire plannen” te maken die een  antwoord formuleren op de stedelijke vraagstukken van de toekomst.",30,tilburg,103,nlqf6,nog nader te bepalen,"['stedelijke', 'ontwikkeling', 'ruimte', 'sociaal', 'techniek']",0.71,63,1,45,2025-12-16
270,module 4.1/4.2: uitvoering ct (nieuwe minor),"uitvoering, gebouwde omgeving",studenten gaan aan de slag met het uitvoeren van een civieltechnisch of bouwkundig project,studenten gaan aan de slag met het uitvoeren van een civieltechnisch of bouwkundig project,30,den bosch en tilburg,104,nlqf6,student kan een civiel project op een aantoonbaar duurzame manier uitvoeren,"['uitvoering', 'gebouwde', 'omgeving']",0.88,67,5,44,2025-12-20
271,minor csbs,"adviseren, rapporteren, cultuur, exportplan, internationalisering",studenten leren een duurzaam exportplan schrijven.,studenten leren een duurzaam exportplan schrijven.,30,den bosch,101,nlqf6,adviseren over een duurzaam exportplan,"['adviseren', 'rapporteren', 'cultuur', 'exportplan', 'internationalisering']",0.61,332,5,41,2025-12-18
272,duurzame business modellen,"duurzaamheid, business modellen, advisering",studenten leren duurzame business modellen toe te passen,studenten leren duurzame business modellen toe te passen,15,den bosch,101,nlqf5,toepassen van en adviseren over duurzame business modellen,"['duurzaamheid', 'business', 'modellen', 'advisering']",0.38,369,1,78,2025-09-18
273,bossche impact studio - basis,"desighn thinking, methode, ontwerp, toepassen",studenten leren volgens de methodiek van design thinking een verbeterontwerp te maken.,studenten leren volgens de methodiek van design thinking een verbeterontwerp te maken.,15,den bosch,101,nlqf5,maken van een verbeterontwerp dor middel van design thinking,"['desighn', 'thinking', 'methode', 'ontwerp', 'toepassen']",0.76,183,4,46,2025-10-08
274,lean yellow belt,"lean, yellow belt, procesverbetering, advisering",studenten behalen een yellow belt certificaat,studenten behalen een yellow belt certificaat,15,den bosch,101,nlqf5,behalen yellow belt certificaat,"['lean', 'yellow', 'belt', 'procesverbetering', 'advisering']",0.79,289,2,68,2025-12-08
275,doctor business,"bedrijfsanalyse, strategisch denken, advisering",studenten leren op een strategische en integrale manier een bedrijf te analyseren en hierover te adviseren,studenten leren op een strategische en integrale manier een bedrijf te analyseren en hierover te adviseren,15,den bosch,101,nlqf5,strategisch advies geven over een bedrijfssituatie,"['bedrijfsanalyse', 'strategisch', 'denken', 'advisering']",0.66,123,5,32,2025-12-24
276,datadriven business,"digitalisering, datadriven, business, besluitvorming, onderzoek","studenten leren om data te gebruiken als bron voor besluitvorming
studenten leren datadriven business toepassen","studenten leren om data te gebruiken als bron voor besluitvorming
studenten leren datadriven business toepassen",15,den bosch,101,nlqf5,toepassen van datadriven business bij organisatievraagstukken,"['digitalisering', 'datadriven', 'business', 'besluitvorming', 'onderzoek']",0.8,297,1,52,2025-09-15
277,arbeidsrecht,"juridisch, arbeidsrelaties, ethiek","als hr professional of leidinggevende is het belangrijk om je soepel te kunnen bewegen in dit juridische speelveld. in de praktijk betekent dit dat je kennis moet hebben van de actuele ontwikkelingen op de verschillende rechtsgebieden, maar in de moderne beroepspraktijk is het zeker zo belangrijk dat je ook beschikt over de juiste vaardigheden en competenties.  in deze module is er daarom naast de theoretische component, volop ruimte voor trainingen en workshops gericht op het ontwikkelen van vaardigheden als advisering, juridisch argumenteren, en conflicthantering.","als hr professional of leidinggevende is het belangrijk om je soepel te kunnen bewegen in dit juridische speelveld. in de praktijk betekent dit dat je kennis moet hebben van de actuele ontwikkelingen op de verschillende rechtsgebieden, maar in de moderne beroepspraktijk is het zeker zo belangrijk dat je ook beschikt over de juiste vaardigheden en competenties.  in deze module is er daarom naast de theoretische component, volop ruimte voor trainingen en workshops gericht op het ontwikkelen van vaardigheden als advisering, juridisch argumenteren, en conflicthantering.",15,den bosch,101,nlqf5,ntb,"['juridisch', 'arbeidsrelaties', 'ethiek']",0.62,440,3,53,2025-11-03
278,"hrm voor niet-hrm-ers, of: employee experience management","employee journey, employee experience, medewerkerstevredenheid, leidinggevenden, hrm",studenten leren over de belangrijke bijdrage van employee experience aan een duurzame bedrijfsvoering; ideaal voor people managers in alle branches.,studenten leren over de belangrijke bijdrage van employee experience aan een duurzame bedrijfsvoering; ideaal voor people managers in alle branches.,15,breda en den bosch,101,nlqf5,"na het volgen van deze module kan je met oog voor employee experience, de in- door- en uitstroom van medewerkers in organisaties zodanig te beinvloeden, dat zij optimaal & duurzaam bijdragen aan de doelstellingen van de organisatie.","['employee', 'journey', 'employee', 'experience', 'medewerkerstevredenheid', 'leidinggevenden', 'hrm']",0.64,351,1,60,2025-11-28
279,talent acquisition & branding,"branding, employer branding, personal branding, recruitment, loopbaanontwikkeling.",employer branding en personal branding: hoe branding een rol speelt in wervingsstrategien van organisaties en in je eigen loopbaan.,employer branding en personal branding: hoe branding een rol speelt in wervingsstrategien van organisaties en in je eigen loopbaan.,15,den bosch,101,nlqf5,"je kan op basis van een analyse een passende branding strategie opstellen voor een organisatie, waarmee de organisatie haar wervingsstrategie kracht bij kan zetten.","['branding', 'employer', 'branding', 'personal', 'branding', 'recruitment', 'loopbaanontwikkeling']",0.58,160,3,54,2025-12-28
280,future of …. (finance),"future, technologie, data, duurzaam, economisch domein","trends zoals circulaire economie, veranderende wet- en regelgeving, robotisering, data-mining, scenario-planning en kunstmatige intelligentie kunnen grote invloed hebben op de wijze waarop we straks werken en organiseren. in deze keuzemodule kijken we samen met vooruitstrevende bedrijven en organisaties (onze partners) hoe deze trends de rol van de professional in het economisch domein veranderen en hoe deze trends geïmplementeerd kunnen worden in de praktijk.","trends zoals circulaire economie, veranderende wet- en regelgeving, robotisering, data-mining, scenario-planning en kunstmatige intelligentie kunnen grote invloed hebben op de wijze waarop we straks werken en organiseren. in deze keuzemodule kijken we samen met vooruitstrevende bedrijven en organisaties (onze partners) hoe deze trends de rol van de professional in het economisch domein veranderen en hoe deze trends geïmplementeerd kunnen worden in de praktijk.",30,breda en den bosch,101,nlqf5,"1. je zet acties uit bij een organisatie gericht op een trend op het gebied van finance, zodanig dat de organisatie op basis daarvan beslissingen kan nemen.
2. je maakt de impact van een trend op het gebied van finance inzichtelijk voor verschillende doelgroepen.","['future', 'technologie', 'data', 'duurzaam', 'economisch', 'domein']",0.32,459,4,20,2025-12-10
281,financieel economische criminaliteit,"criminaliteit, fraude, witwassen, bestrijding","in deze module leert de student verschillende vormen van financieel economische criminaliteit, waar verschillende organisaties in de praktijk mee te maken krijgen, herkennen. de student snapt de rol van verschillende partijen in de brede aanpak van deze vorm van criminaliteit. de student leert over relevante wet- en regelgeving, maar ook over ethiek en integriteit.","in deze module leert de student verschillende vormen van financieel economische criminaliteit, waar verschillende organisaties in de praktijk mee te maken krijgen, herkennen. de student snapt de rol van verschillende partijen in de brede aanpak van deze vorm van criminaliteit. de student leert over relevante wet- en regelgeving, maar ook over ethiek en integriteit.",15,den bosch,101,nlqf5,"1. de student herkent signalen van mogelijke financieel economische criminaliteit binnen organisaties.
2. de student onderneemt de juiste stappen, indien hij/zij signalen van mogelijke financieel economische criminaliteit oppikt.","['criminaliteit', 'fraude', 'witwassen', 'bestrijding']",0.37,136,2,40,2025-09-28
282,"duurzaamheid/ csrd/ circulariteit,",duurzame economie,in deze module leert de student diepgaand hoe een organisatie zich kan ontwikkelen van profit-driven naar purpose-driven. integrated reporting zoals ook voorgeschreven door csrd  is een middel hiervoor.,in deze module leert de student diepgaand hoe een organisatie zich kan ontwikkelen van profit-driven naar purpose-driven. integrated reporting zoals ook voorgeschreven door csrd  is een middel hiervoor.,15,den bosch,101,nlqf5,de student leert wat duurzaam ondernemen is obv de csrd. hij weet de kpi's die daarbij horen te vertalen naar duurzame bedrijfsmodellen en -processen.,"['duurzame', 'economie']",0.32,164,1,67,2025-11-13
283,safety first,"sociale veiligheid, fysieke veiligheid, risico's",het organiseren van sociale en fysieke veilige werk- of leefomgeving,het organiseren van sociale en fysieke veilige werk- of leefomgeving,15,den bosch,101,nlqf5,het organiseren van sociale en fysieke veilige werk- of leefomgeving,"['sociale', 'veiligheid', 'fysieke', 'veiligheid', 'risicos']",0.71,499,5,74,2025-10-09
289,"studio impact experiment, samenwerking abe atix, aci?","talentontwikkeling, interdisciplinair samenwerken, etisch handelen, real-life cases,  duurzaamheid.","in studio impact draait alles om jouw persoonlijke ontwikkeling en groei. hoe vergroot jij jouw impact? we dagen je uit om je talenten te ontdekken en te benutten, terwijl je tegelijkertijd de waarde van de talenten van anderen leert herkennen en erkennen. stap voor stap groei je door te experimenteren, creëren en reflecteren.

in onze werkomgeving creëer je vanuit een stevige theoretische basis.(sdg’s het zes kapitalen model, het tripple layerd business model canvas en de inner development goals) prototypes met impact deze combinatie van kennis en vaardigheden biedt jou een breder perspectief, helpt je om kritisch en holistisch te acteren en tegenstellingen te overbruggen.

je werken in teams met bedrijven en onderzoekers aan vraagstukken op het snijvlak van duurzaamheid, maatschappij en ethiek. meervoudige waardecreatie staat centraal. tijdens de module doorloop je meerdere projcten van 1 of 2 weken. je verbreedt en verdiept je zelf en geeft jouw eigen impact vorm","in studio impact draait alles om jouw persoonlijke ontwikkeling en groei. hoe vergroot jij jouw impact? we dagen je uit om je talenten te ontdekken en te benutten, terwijl je tegelijkertijd de waarde van de talenten van anderen leert herkennen en erkennen. stap voor stap groei je door te experimenteren, creëren en reflecteren.

in onze werkomgeving creëer je vanuit een stevige theoretische basis.(sdg’s het zes kapitalen model, het tripple layerd business model canvas en de inner development goals) prototypes met impact deze combinatie van kennis en vaardigheden biedt jou een breder perspectief, helpt je om kritisch en holistisch te acteren en tegenstellingen te overbruggen.

je werken in teams met bedrijven en onderzoekers aan vraagstukken op het snijvlak van duurzaamheid, maatschappij en ethiek. meervoudige waardecreatie staat centraal. tijdens de module doorloop je meerdere projcten van 1 of 2 weken. je verbreedt en verdiept je zelf en geeft jouw eigen impact vorm",15,breda,105,nlqf5,"de student demonstreert persoonlijke groei op de vijf ""inner development goals"", waardoor hij in staat is om door interdisciplinair te experimenteren en te creëren op ethische en duurzame wijze tot meervoudige waardecreatie te komen. (uitkomsten kunnen vertalen naar het zes capitalen model of waardecreatiemodel van het iirc).","['talentontwikkeling', 'interdisciplinair', 'samenwerken', 'etisch', 'handelen', 'reallife', 'cases', 'duurzaamheid']",0.5,395,4,25,2025-10-27
290,organizational behavior (samenwerking hrm - ivk),"organisatiegedrag, groepsdynamica, verandermanagement, organisatiecultuur, leiderschap","een keuzemodule ob put uit inzichten uit de (organisatie-) psychologie, sociologie, en economie om gedrag in organisaties te onderzoeken en te begrijpen.","een keuzemodule ob put uit inzichten uit de (organisatie-) psychologie, sociologie, en economie om gedrag in organisaties te onderzoeken en te begrijpen.",30,breda,106,nlqf5,"studenten ontwikkelen een doorleefd begrip van verschillende opvattingen (filosofieën) rondom organisatiegedrag, en zijn hiermee in staat om een waardevolle bijdrage te kunnen leveren aan een organisatie in verandering.","['organisatiegedrag', 'groepsdynamica', 'verandermanagement', 'organisatiecultuur', 'leiderschap']",0.63,483,1,47,2025-09-17
291,openbare orde & handhaving (o.o.h.),"maatschappelijk, criminaliteit, recht, opsporing, openbare orde","inzicht in opsporingsbevoegdheden en strafvordering, onderzoek doen naar openbare orde trends en aanpak en vaardigheden omtrent grensoverschrijdende praktijksituaties bij opsporingsambtenaren.","inzicht in opsporingsbevoegdheden en strafvordering, onderzoek doen naar openbare orde trends en aanpak en vaardigheden omtrent grensoverschrijdende praktijksituaties bij opsporingsambtenaren.",15,breda,107,nlqf5,onderzoek binnen gemeenschap op objectieve en subjectieve veiligheid vd openbare orde zodanig dat hij een adviesrapport kan opstellen,"['maatschappelijk', 'criminaliteit', 'recht', 'opsporing', 'openbare', 'orde']",0.89,282,5,36,2025-12-12
292,leiderschap (samenwerking bdk),"leiderschapsstijlen, verandermanagement, management development, persoonlijke effectiviteit.",leiderschap in combinatie met zelforganisatie. leiderschapsontwikkeling. management development. link met diversiteit & inclusie. link met persoonlijk leiderschap. link met veranderkunde.,leiderschap in combinatie met zelforganisatie. leiderschapsontwikkeling. management development. link met diversiteit & inclusie. link met persoonlijk leiderschap. link met veranderkunde.,15,breda,108,nlqf5,realiseren van organisatie en gedragsverandering door het inzetten van leiderschap.,"['leiderschapsstijlen', 'verandermanagement', 'management', 'development', 'persoonlijke', 'effectiviteit']",0.46,113,1,24,2025-11-25
293,finance for non-financials: do you want to get a heads-up with you start-up,ntb,fatima en grainne navragen,fatima en grainne navragen,15,breda en den bosch,109,nlqf5,ntb,['ntb'],0.57,426,3,50,2025-11-29
294,levensloop van een bedrijf. van idee naar onderneming.,"ondernemingsplan, financieringsplan, fiscale levensloop, groeimodel",navragen bij esther,navragen bij esther,15,breda,110,nlqf5,ntb,"['ondernemingsplan', 'financieringsplan', 'fiscale', 'levensloop', 'groeimodel']",0.79,402,1,24,2025-10-14
295,de financial in zijn omgeving,ntb,"navragen bij lennard, patricia en hilde, ben","navragen bij lennard, patricia en hilde, ben",15,breda,111,nlqf5,ntb,['ntb'],0.45,308,1,57,2025-09-25
296,onzichtbare waarden zichtbaar maken (marleen jansen groesbeek),"meervoudige waardecreatie, duurzaam ondernemen, rapporteren , boekhouden, esg","tegenwoordig willen organisaties steeds vaker laten zien wat hun impact is op de maatschappij (natuur, mens en omgeving). met deze vrije module krijgen studenten inzicht in de verschillende manieren waarop organisaties die waarden kunnen bepalen en kunnen laten zien aan de buitenwereld. ze kunnen dit doen vanuit hun intrinsieke motivatie, maar worden nu ook gedwongen hun meervoudige waardecreatie te laten zien door nieuwe wetgeving.","tegenwoordig willen organisaties steeds vaker laten zien wat hun impact is op de maatschappij (natuur, mens en omgeving). met deze vrije module krijgen studenten inzicht in de verschillende manieren waarop organisaties die waarden kunnen bepalen en kunnen laten zien aan de buitenwereld. ze kunnen dit doen vanuit hun intrinsieke motivatie, maar worden nu ook gedwongen hun meervoudige waardecreatie te laten zien door nieuwe wetgeving.",15,breda en den bosch,112,nlqf5,"studenten leggen het concept van meervoudige waardecreatie uit en koppelen dit concept aan organisaties. 
studenten verbinden financiële en niet financiële informatie met elkaar, waardoor het maatschappelijk verdienvermogen en toekomstbestendigheid van de nederlandse economie  zichtbaar wordt. 
studenten onderkennen de maatschappelijke kansen en risico's voor een organisatie en geven hierover advies.","['meervoudige', 'waardecreatie', 'duurzaam', 'ondernemen', 'rapporteren', 'boekhouden', 'esg']",0.35,255,1,22,2025-09-17
297,"rapporteren over (niet) financiële informatie. ""duurzame en transparante onderneming""","duurzaamheid, rapportering, csrd, accounting, advisering","studenten gaan aan de slag om voor een organisatie een kpi dashboard te ontwikkelen over (niet) financiële informatie, welke in lijn ligt met csrd","studenten gaan aan de slag om voor een organisatie een kpi dashboard te ontwikkelen over (niet) financiële informatie, welke in lijn ligt met csrd",15,breda,113,nlqf5,"lu1: de student heeft kennis van duurzaamheidsverslaggeving en kan dit tot uiting brengen middels een poster presentatie (of ander soort product). 
lu2: de student analyseert het duurzaamheidsverslag van een grote organisatie en beoordeelt in hoeverre dit voldoet aan de wet- en regelgeving vanuit csrd.
lu3: de student stelt een kpi dashboard op voor een mkb-organisatie (opdrachtgevers vanuit het werkveld) op basis van de materialiteitsanalyse zodanig dat de onderneming hiervoor achteraf verantwoording kan afleggen door middel van het bestuursverslag","['duurzaamheid', 'rapportering', 'csrd', 'accounting', 'advisering']",0.49,185,4,72,2025-09-13
298,"levensveranderende gebeurtenissen vanuit financieel, fiscaal en juridisch oogpunt","financieel, fiscaal, juridisch. levensveranderende gebeurtenissen.","als jongvolwassene sta je voor een aantal levensveranderende gebeurtenissen die financiële, fiscale en juridische gevolgen hebben. denk aan het aankopen van een eigen woning, samenwonen, trouwen, het krijgen van kinderen, het opbouwen van pensioen. in deze module bereiden wij studenten hier op voor, zodat zij weloverwogen keuzes kunnen maken.","als jongvolwassene sta je voor een aantal levensveranderende gebeurtenissen die financiële, fiscale en juridische gevolgen hebben. denk aan het aankopen van een eigen woning, samenwonen, trouwen, het krijgen van kinderen, het opbouwen van pensioen. in deze module bereiden wij studenten hier op voor, zodat zij weloverwogen keuzes kunnen maken.",15,breda,114,nlqf5,"1. je bent je bewust van de fiscale, financiële en juridische gevolgen van levensveranderende gebeurtenissen en je weet op basis van welke overwegingen je een weloverwogen keuze kunt maken. 2. je bent in staat om een persoonlijke financiële, fiscale en juridische planning te maken.","['financieel', 'fiscaal', 'juridisch', 'levensveranderende', 'gebeurtenissen']",0.4,48,1,42,2025-11-23
299,robot challenge,"besturing, mechatronica, rapid prototyping.",tijdens deze keuzemodule gaat een studentgroep aan de slag met het ontwerpen en bouwen van een robot (voorbeeld mijnenveger oid). de robot en tooling moet zo veel mogelijk geproduceerd worden uit 3d-geprinte onderdelen.,tijdens deze keuzemodule gaat een studentgroep aan de slag met het ontwerpen en bouwen van een robot (voorbeeld mijnenveger oid). de robot en tooling moet zo veel mogelijk geproduceerd worden uit 3d-geprinte onderdelen.,15,den bosch,101,nlqf5,"voorbeeld project, waarbij een mijnenveger gemaakt moet worden:

1.	detailontwerp (6ec)
de student maakt een ontwerp van een robot die de mijn localiseert en oppakt zonder dat deze afgaat. vanwege de korte looptijd van de keuzemodule wordt er gebruik gemaakt van een snel ontwerpproces. hier wordt de student in begeleid. 
2.	prototype (6 ec)
het ontwerp wordt gerealiseerd tot prototype. voor de haalbaarheid wordt er gebruik gemaakt van een schaalmodel. meerdere materialen. voor het 3d printen in verschillende materialen is aanvullende kennis over 3d printen vereist.
het resulaat wordt uiteindelijk tijdens de wedstrijddag getest.
3.	energiemanagement (3 ec)
de robot moet autonoom de mijn localiseren. hiervoor moet het over ruw terrein kunnen rijden. op de juiste plek stoppen en de mijn voorzichtig oppakken en transporteren naar een locatie waar deze veilig onschadelijk gemaakt kan worden. dit alles moet gebeuren met beperkte energievoorraad. accutechniek.","['besturing', 'mechatronica', 'rapid', 'prototyping']",0.9,486,5,56,2025-09-25
300,serious gaming - optie 1*,"unity, applied game, zorg",in een multidisciplinaire projectgroep heeft elke student zijn of haar eigen taak in het ontwikkelen van een applied game [1] voor een échte klant. daarnaast zal de student zich ook tot op een eigen aangegeven niveau moeten verdiepen in de werkzaamheden van de andere disciplines.,in een multidisciplinaire projectgroep heeft elke student zijn of haar eigen taak in het ontwikkelen van een applied game [1] voor een échte klant. daarnaast zal de student zich ook tot op een eigen aangegeven niveau moeten verdiepen in de werkzaamheden van de andere disciplines.,15,den bosch,101,nlqf5,"je ontwerpt én realiseert op basis van onderzoek en aangeleverde requirements een toegepast game-concept dat past bij de doelgroep en de gestelde doelen. hierbij worden alle stakeholders, hun behoeften en prioriteit continu gemanaged en een protoype gebouwd in unity","['unity', 'applied', 'game', 'zorg']",0.83,179,3,72,2025-11-07
301,serious gaming - optie 2*,"serious gaming, revalidatie, sporten, game design, zelfvoorzienend","student leert in een interdisciplinaire leeromgeving een duurzame zelfvoorzienende retro arcadeconsole te ontwerpen en realiseren, die de gebruiker aanzet tot beweging.","student leert in een interdisciplinaire leeromgeving een duurzame zelfvoorzienende retro arcadeconsole te ontwerpen en realiseren, die de gebruiker aanzet tot beweging.",15,den bosch,101,nlqf5,"je ontwerpt en realiseert in teamverband een arcadegame die de gebruiker op een aantrekkelijke wijze aanzet tot bewegen. de input die de gebruiker levert is daarbij een essentieel onderdeel van de game, zowel voor spelverloop als voor (gedeeltelijke) energievoorziening van het spel.","['serious', 'gaming', 'revalidatie', 'sporten', 'game', 'design', 'zelfvoorzienend']",0.71,256,3,56,2025-09-10
